task_id,source_id,split,scene_category,difficulty_tier,official_source,source_url,license,license_evidence_url,author,attribution,materialized_sha256,public_release_eligible,original_api_egress_allowed,aigc30_api_egress_allowed,egress_authorization,license_review_status,content_safety_status,personality_rights_status,trademark_status,qwen4_route_action
commons-ef4fcdd7565b__square-1024x1024,commons-ef4fcdd7565b,heldout240,multi_product_commercial,aspect_hard_2,"https://commons.wikimedia.org/wiki/File:Print,_advertisement_(BM_1902,1011.9665-9667_1).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Print%2C_advertisement_%28BM_1902%2C1011.9665-9667_1%29.jpg/1280px-Print%2C_advertisement_%28BM_1902%2C1011.9665-9667_1%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"https://commons.wikimedia.org/wiki/File:Print,_advertisement_(BM_1902,1011.9665-9667_1).jpg#Licensing",https://www.britishmuseum.org/collection/object/P_1902-1011-9665-9667,"https://www.britishmuseum.org/collection/object/P_1902-1011-9665-9667 — Print, advertisement (BM 1902,1011.9665-9667 1).jpg — Public domain — via Wikimedia Commons",3c482622882288457f6daf8dab0c7df883e94cf95b27747295b2d58a5aac7c26,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
commons-fddc0e5e57be__square-1024x1024,commons-fddc0e5e57be,heldout240,multi_product_commercial,aspect_hard_2,"https://commons.wikimedia.org/wiki/File:D%C3%BClmen,_Marktplatz,_Weihnachtsmarkt_--_2013_--_5362-3.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/D%C3%BClmen%2C_Marktplatz%2C_Weihnachtsmarkt_--_2013_--_5362-3.jpg/1280px-D%C3%BClmen%2C_Marktplatz%2C_Weihnachtsmarkt_--_2013_--_5362-3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:D%C3%BClmen,_Marktplatz,_Weihnachtsmarkt_--_2013_--_5362-3.jpg#Licensing",Dietmar Rabich,"Dietmar Rabich — Dülmen, Marktplatz, Weihnachtsmarkt -- 2013 -- 5362-3.jpg — CC BY-SA 4.0 — via Wikimedia Commons",9dbae9cbb671c9d3a76855557012c2a452e6ca4f7b6fc7a701c917cbfbda43c9,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
commons-9d8c2d44515b__square-1024x1024,commons-9d8c2d44515b,heldout240,multi_product_commercial,aspect_extreme,"https://commons.wikimedia.org/wiki/File:Gaden_Tangka_-_Tip_Arsenal_Mint,_1898._Class_D,_Type_O,_Flower,_Pellet_leaves_(as_Class_C),_W_has_%27curved_keyboard%27_body,_NW_has_5_dots._-_Scott_Semans_03.jpg",https://upload.wikimedia.org/wikipedia/commons/6/63/Gaden_Tangka_-_Tip_Arsenal_Mint%2C_1898._Class_D%2C_Type_O%2C_Flower%2C_Pellet_leaves_%28as_Class_C%29%2C_W_has_%27curved_keyboard%27_body%2C_NW_has_5_dots._-_Scott_Semans_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY 3.0,"https://commons.wikimedia.org/wiki/File:Gaden_Tangka_-_Tip_Arsenal_Mint,_1898._Class_D,_Type_O,_Flower,_Pellet_leaves_(as_Class_C),_W_has_%27curved_keyboard%27_body,_NW_has_5_dots._-_Scott_Semans_03.jpg#Licensing",Scott Semans World Coins (CoinCoin.com),"Scott Semans World Coins (CoinCoin.com) — Gaden Tangka - Tip Arsenal Mint, 1898. Class D, Type O, Flower, Pellet leaves (as Class C), W has 'curved keyboard' body, NW has 5 dots. - Scott Semans 03.jpg — CC BY 3.0 — via Wikimedia Commons",bb1f71ba13749deff6dec44ab2193e24d1822311d35ef6984136a0f3c696d660,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,USE_BEST_TRADITIONAL
commons-1296f31d179c__square-1024x1024,commons-1296f31d179c,heldout240,multi_person,aspect_extreme,https://commons.wikimedia.org/wiki/File:Group_of_Cleveland_Base_Ball_players_LCCN2007663706.tif,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Group_of_Cleveland_Base_Ball_players_LCCN2007663706.tif/lossy-page1-1280px-Group_of_Cleveland_Base_Ball_players_LCCN2007663706.tif.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,https://commons.wikimedia.org/wiki/File:Group_of_Cleveland_Base_Ball_players_LCCN2007663706.tif#Licensing,https://www.loc.gov/pictures/item/2007663706,https://www.loc.gov/pictures/item/2007663706 — Group of Cleveland Base Ball players LCCN2007663706.tif — Public domain — via Wikimedia Commons,eca913c3221c6d874d443aa7543e23c10bb78b58f95bc6889a27f73e91a46be7,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
commons-12e03c08dada__square-1024x1024,commons-12e03c08dada,heldout240,multi_person,aspect_extreme,https://commons.wikimedia.org/wiki/File:Group_(Elks_club%3F)_at_King_Street_Station_in_Seattle_c.1912_(3952090909).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Group_%28Elks_club%3F%29_at_King_Street_Station_in_Seattle_c.1912_%283952090909%29.jpg/1280px-Group_%28Elks_club%3F%29_at_King_Street_Station_in_Seattle_c.1912_%283952090909%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,https://commons.wikimedia.org/wiki/File:Group_(Elks_club%3F)_at_King_Street_Station_in_Seattle_c.1912_(3952090909).jpg#Licensing,"Photographer given as ""Donaldson Photo-Art Co.""; on the Flickr account of William Creswell from Bremerton, Washington, USA","Photographer given as ""Donaldson Photo-Art Co.""; on the Flickr account of William Creswell from Bremerton, Washington, USA — Group (Elks club?) at King Street Station in Seattle c.1912 (3952090909).jpg — Public domain — via Wikimedia Commons",efdb14c0980aca05dac88ce7e3683ffcf3afcd7e3853aa85ce3b9a69895b88a3,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
commons-189b9dd8898d__square-1024x1024,commons-189b9dd8898d,heldout240,multi_person,aspect_extreme,https://commons.wikimedia.org/wiki/File:Associated_Advertising_Clubs_of_the_World_LCCN2007661684.tif,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Associated_Advertising_Clubs_of_the_World_LCCN2007661684.tif/lossy-page1-1280px-Associated_Advertising_Clubs_of_the_World_LCCN2007661684.tif.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,https://commons.wikimedia.org/wiki/File:Associated_Advertising_Clubs_of_the_World_LCCN2007661684.tif#Licensing,https://www.loc.gov/pictures/item/2007661684,https://www.loc.gov/pictures/item/2007661684 — Associated Advertising Clubs of the World LCCN2007661684.tif — Public domain — via Wikimedia Commons,18d582ab5c3619c218592a2b019dae54856fbd23edf528904c56498bd4ace10e,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
commons-2dedc4be304f__square-1024x1024,commons-2dedc4be304f,heldout240,multi_person,aspect_extreme,"https://commons.wikimedia.org/wiki/File:Day_Before_Beginning_of_Great_Reno_Balloon_Race,_Reno,_Nevada_(21154555760).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Day_Before_Beginning_of_Great_Reno_Balloon_Race%2C_Reno%2C_Nevada_%2821154555760%29.jpg/1280px-Day_Before_Beginning_of_Great_Reno_Balloon_Race%2C_Reno%2C_Nevada_%2821154555760%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Day_Before_Beginning_of_Great_Reno_Balloon_Race,_Reno,_Nevada_(21154555760).jpg#Licensing","Ken Lund from Reno, Nevada, USA","Ken Lund from Reno, Nevada, USA — Day Before Beginning of Great Reno Balloon Race, Reno, Nevada (21154555760).jpg — CC BY-SA 2.0 — via Wikimedia Commons",debfbf209b2a88f6e30c29983b989849ecbb95004a284452fcdcd6202f2dce24,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,USE_BEST_TRADITIONAL
commons-35a2ab968e9a__square-1024x1024,commons-35a2ab968e9a,heldout240,portrait,aspect_extreme,"https://commons.wikimedia.org/wiki/File:Maude_Amber,_standing_full-length_portrait_photograph.jpg",https://upload.wikimedia.org/wikipedia/commons/0/0d/Maude_Amber%2C_standing_full-length_portrait_photograph.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,"https://commons.wikimedia.org/wiki/File:Maude_Amber,_standing_full-length_portrait_photograph.jpg#Licensing",Stanford Studio,"Stanford Studio — Maude Amber, standing full-length portrait photograph.jpg — Public domain — via Wikimedia Commons",16104233ff4e7b78069fadd320c2e867f0a34b75216ce79d261ef40b2de4f6bf,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,CALL_EXTERNAL_AIGC
commons-383a01620817__square-1024x1024,commons-383a01620817,heldout240,portrait,aspect_extreme,https://commons.wikimedia.org/wiki/File:Full_length_portrait_photograph_of_Miss_C._Tillman_1899_(3192337988).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Full_length_portrait_photograph_of_Miss_C._Tillman_1899_%283192337988%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,https://commons.wikimedia.org/wiki/File:Full_length_portrait_photograph_of_Miss_C._Tillman_1899_(3192337988).jpg#Licensing,"Snyder, Frank R. Flickr: Miami U. Libraries - Digital Collections","Snyder, Frank R. Flickr: Miami U. Libraries - Digital Collections — Full length portrait photograph of Miss C. Tillman 1899 (3192337988).jpg — Public domain — via Wikimedia Commons",52a998fb1aeed086e8e32b299fadf27ec4e5799db2ed9bc84b0f14ab8bf68e13,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,USE_BEST_TRADITIONAL
commons-5739558e1087__square-1024x1024,commons-5739558e1087,heldout240,portrait,aspect_hard_2,https://commons.wikimedia.org/wiki/File:Woman_in_1979_fashions.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Woman_in_1979_fashions.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,https://commons.wikimedia.org/wiki/File:Woman_in_1979_fashions.jpg#Licensing,jeanne ( talk ),jeanne ( talk ) — Woman in 1979 fashions.jpg — Public domain — via Wikimedia Commons,11f2dc3015b7ac45e90fea2c4d6e32a7a5d2c82fec1d471431b3c0318cce04ab,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,reviewed_research_only_not_endorsement,USE_BEST_TRADITIONAL
commons-7936f4560f6a__square-1024x1024,commons-7936f4560f6a,pilot60,portrait,aspect_hard_1,"https://commons.wikimedia.org/wiki/File:Portret_in_beschilderd_paneel_verwerkt,_RP-F-F17632.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Portret_in_beschilderd_paneel_verwerkt%2C_RP-F-F17632.jpg/1280px-Portret_in_beschilderd_paneel_verwerkt%2C_RP-F-F17632.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,"https://commons.wikimedia.org/wiki/File:Portret_in_beschilderd_paneel_verwerkt,_RP-F-F17632.jpg#Licensing",Rijksmuseum,"Rijksmuseum — Portret in beschilderd paneel verwerkt, RP-F-F17632.jpg — CC0 — via Wikimedia Commons",587e09ebd8ead27d9c750c2273558e9096901f04ccbb986284215bfba28ae6b8,true,false,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,USE_BEST_TRADITIONAL
commons-059eb0390ab4__square-1024x1024,commons-059eb0390ab4,pilot60,landscape_architecture_structure,aspect_extreme,https://commons.wikimedia.org/wiki/File:Castle_of_Estaing_15.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Castle_of_Estaing_15.jpg/1280px-Castle_of_Estaing_15.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Castle_of_Estaing_15.jpg#Licensing,Krzysztof Golik,Krzysztof Golik — Castle of Estaing 15.jpg — CC BY-SA 4.0 — via Wikimedia Commons,3e8c80628ecd3e0af8ce97b307ef3cd08c15632b80d13ed1a5d9635252b7d481,true,true,true,user_explicit_2026-08-12_aigc30,approved,approved,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,CALL_EXTERNAL_AIGC
